"","ind1","ind2","ind3","ind4","ind5","ind6","ind7","ind8","ind9","ind10","ind11","ind12","ind13","ind14","ind15","ind16","ind17","ind18","ind19","ind20","ind21","ind22","ind23","ind24","ind25"
"96",1,NA,2,3,4,5,6,7,8,8,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"97",1,NA,2,3,4,5,6,7,8,7,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"98",1,NA,2,3,4,5,6,7,8,6,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"99",1,NA,2,3,4,5,6,7,8,8,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"100",1,NA,2,3,4,5,6,7,8,7,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"101",1,NA,2,3,4,5,6,7,8,7,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"102",1,NA,2,3,4,5,6,7,8,8,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"103",1,NA,2,3,4,5,6,7,8,6,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"104",1,NA,2,3,4,5,6,7,8,3,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"105",1,NA,2,3,4,5,6,7,8,5,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"106",1,NA,2,3,4,5,6,7,8,3,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"107",1,NA,2,3,4,5,6,7,8,8,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"108",1,NA,2,3,4,5,6,7,8,7,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"109",1,NA,2,3,4,5,6,7,8,1,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"110",1,NA,2,3,4,5,6,7,8,6,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"111",1,NA,2,3,4,5,6,7,8,1,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"112",1,NA,2,3,4,5,6,7,8,8,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"113",1,NA,2,3,4,5,6,7,8,3,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"114",1,NA,2,3,4,5,6,7,8,6,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"115",1,NA,2,3,4,5,6,7,8,5,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"116",1,NA,2,3,4,5,6,7,8,3,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"117",1,NA,2,3,4,5,6,7,8,7,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"118",1,NA,2,3,4,5,6,7,8,5,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"119",1,NA,2,3,4,5,6,7,8,5,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"120",1,NA,2,3,4,5,6,7,8,5,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"121",1,NA,2,3,4,5,6,7,8,4,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"122",1,NA,2,3,4,5,6,7,8,4,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"123",1,NA,2,3,4,5,6,7,8,5,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"124",1,NA,2,3,4,5,6,7,8,1,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"125",1,NA,2,3,4,5,6,7,8,3,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"126",1,NA,2,3,4,5,6,7,8,4,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"127",1,NA,2,3,4,5,6,7,8,6,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"128",1,NA,2,3,4,5,6,7,8,2,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"129",1,NA,2,3,4,5,6,7,8,6,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"130",1,NA,2,3,4,5,6,7,8,1,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"131",1,NA,2,3,4,5,6,7,8,7,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"132",1,NA,2,3,4,5,6,7,8,4,3,8,1,1,5,1,5,2,3,1,5,5,5,5,7
"133",1,NA,2,3,4,5,6,7,8,7,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"134",1,NA,2,3,4,5,6,7,8,7,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
